Index,Vocab-expression,Vocab-kana,Vocab-meaning,Sentence-expression,Sentence-kana,Sentence-meaning,Vocab-furigana,Sentence-furigana,Sentence-Cloze
4088,含む,ふくむ,"contain, include",その食品は有害物質を<b>含んでいる</b>ぞ。,その しょくひん は ゆうがい ぶっしつ を <b>ふくんで いる</b> ぞ,The food contains a poisonous substance.,含[ふく]む,その 食品[しょくひん]は 有害物質[ゆうがい ぶっしつ]を<b> 含[ふく]んでいる</b>ぞ。,その 食品[しょくひん]は 有害物質[ゆうがい ぶっしつ]を<b>（　）</b>ぞ。
4089,順調,じゅんちょう,"favorable condition, smooth progress",進み具合は全て<b>順調</b>です。,すすみ ぐあい は すべて <b>じゅんちょう</b> です,It is all progressing well.,順調[じゅんちょう],進[すす]み 具合[ぐあい]は 全[すべ]て<b> 順調[じゅんちょう]</b>です。,進[すす]み 具合[ぐあい]は 全[すべ]て<b>（　）</b>です。
4090,経過,けいか,"progression, lapse",手術後の<b>経過</b>は順調です。,しゅじゅつ ご の <b>けいか</b> は じゅんちょう です,Progress after the operation is going well.,経過[けいか],手術後[しゅじゅつ ご]の<b> 経過[けいか]</b>は 順調[じゅんちょう]です。,手術後[しゅじゅつ ご]の<b>（　）</b>は 順調[じゅんちょう]です。
4091,順,じゅん,"order, sequence",あいうえお<b>順</b>に並べて下さい。,あいうえお <b>じゅん</b> に ならべて ください,Please line up in order of the Japanese syllabary.,順[じゅん],あいうえお<b> 順[じゅん]</b>に 並[なら]べて 下[くだ]さい。,あいうえお<b>（　）</b>に 並[なら]べて 下[くだ]さい。
4092,順番,じゅんばん,"order, turn",これを<b>順番</b>通りに並べ替えて下さい。,これ を <b>じゅんばん</b> どおり に ならべ かえて ください,Please rearrange these in order.,順番[じゅんばん],これを<b> 順番[じゅんばん]</b> 通[どお]りに 並[なら]べ 替[か]えて 下[くだ]さい。,これを<b>（　）</b> 通[どお]りに 並[なら]べ 替[か]えて 下[くだ]さい。
4093,順位,じゅんい,"order, rank",今年は去年よりも<b>順位</b>が上がりました。,ことし は きょねん より も <b>じゅんい</b> が あがりました,Our rank went up this year more than it did last year.,順位[じゅんい],今年[ことし]は 去年[きょねん]よりも<b> 順位[じゅんい]</b>が 上[あ]がりました。,今年[ことし]は 去年[きょねん]よりも<b>（　）</b>が 上[あ]がりました。
4094,五十音,ごじゅうおん,Japanese syllabary,名前は<b>五十音</b>順に並んでいます。,なまえ は <b>ごじゅうおん</b>じゅん に ならんで います,The names are arranged in the order of the Japanese syllabary.,五十音[ごじゅうおん],名前[なまえ]は<b> 五十音[ごじゅうおん]</b> 順[じゅん]に 並[なら]んでいます。,名前[なまえ]は<b>（　）</b> 順[じゅん]に 並[なら]んでいます。
4095,道順,みちじゅん,"route, itinerary",家から学校までの<b>道順</b>を教えてください。,いえ から がっこう まで の <b>みちじゅん</b> を おしえて ください,Please tell me the route from your house to the school.,道順[みちじゅん],家[いえ]から 学校[がっこう]までの<b> 道順[みちじゅん]</b>を 教[おし]えてください。,家[いえ]から 学校[がっこう]までの<b>（　）</b>を 教[おし]えてください。
4096,順序,じゅんじょ,order,正しい<b>順序</b>で操作してください。,ただしい <b>じゅんじょ</b> で そうさ して ください,Please carry out the operations in the correct order.,順序[じゅんじょ],正[ただ]しい<b> 順序[じゅんじょ]</b>で 操作[そうさ]してください。,正[ただ]しい<b>（　）</b>で 操作[そうさ]してください。
4097,逆,ぎゃく,"reverse, inverse",駅は<b>逆</b>方向です。,えき は <b>ぎゃく</b>ほうこう です,The station is in the opposite direction.,逆[ぎゃく],駅[えき]は<b> 逆[ぎゃく]</b> 方向[ほうこう]です。,駅[えき]は<b>（　）</b> 方向[ほうこう]です。
4098,運命,うんめい,"fate, fortune",<b>運命</b>には逆らえないよ。,<b>うんめい</b> に は さからえない よ,You can't go against fate.,運命[うんめい],<b> 運命[うんめい]</b>には 逆[さか]らえないよ。,<b>（　）</b>には 逆[さか]らえないよ。
4099,逆らう,さからう,"disobey, go against",親に<b>逆らう</b>のは良くない事です。,おや に <b>さからう</b> の は よくない こと です,It is not a good thing to disobey your parents.,逆[さか]らう,親[おや]に<b> 逆[さか]らう</b>のは 良[よ]くない 事[こと]です。,親[おや]に<b>（　）</b>のは 良[よ]くない 事[こと]です。
4100,逆さ,さかさ,"reverse, inversion",絵を<b>逆さ</b>にしてみてごらん。,え を <b>さかさ</b> に して みて ごらん,Try looking at the picture upside down.,逆[さか]さ,絵[え]を<b> 逆[さか]さ</b>にしてみてごらん。,絵[え]を<b>（　）</b>にしてみてごらん。
4101,逆さま,さかさま,"upside-down, reverse",それじゃあ上と下が<b>逆さま</b>だよ。,それじゃあ うえ と した が <b>さかさま</b> だ よ,The way you have it is upside down.,逆[さか]さま,それじゃあ 上[うえ]と 下[した]が<b> 逆[さか]さま</b>だよ。,それじゃあ 上[うえ]と 下[した]が<b>（　）</b>だよ。
4102,前進,ぜんしん,advancement,一列に並んで<b>前進</b>して下さい。,いちれつ に ならんで <b>ぜんしん</b> して ください,Please form a line and proceed forwards.,前進[ぜんしん],一列[いちれつ]に 並[なら]んで<b> 前進[ぜんしん]</b>して 下[くだ]さい。,一列[いちれつ]に 並[なら]んで<b>（　）</b>して 下[くだ]さい。
4103,行列,ぎょうれつ,"queue, line",店の前に長い<b>行列</b>ができていますよ。,みせ の まえ に ながい <b>ぎょうれつ</b> が できて います よ,There is a long line in front of the shop.,行列[ぎょうれつ],店[みせ]の 前[まえ]に 長[なが]い<b> 行列[ぎょうれつ]</b>ができていますよ。,店[みせ]の 前[まえ]に 長[なが]い<b>（　）</b>ができていますよ。
4104,整列,せいれつ,"row, line",体育館に行って<b>整列</b>しなさい。,たいいくかん に いって <b>せいれつ</b> しなさい,Go to the gymnasium and line up.,整列[せいれつ],体育館[たいいくかん]に 行[い]って<b> 整列[せいれつ]</b>しなさい。,体育館[たいいくかん]に 行[い]って<b>（　）</b>しなさい。
4105,列車,れっしゃ,train,<b>列車</b>がホームに入ってきた。,<b>れっしゃ</b> が ほーむ に はいって きた,The train has arrived at the platform.,列車[れっしゃ],<b> 列車[れっしゃ]</b>がホームに 入[はい]ってきた。,<b>（　）</b>がホームに 入[はい]ってきた。
4106,縦,たて,"lengthways, vertical",<b>縦</b>2列に並んでください。,<b>たて</b> 2 れつ に ならんで ください,Please line up in two rows lengthways.,縦[たて],<b> 縦[たて]</b> 2 列[れつ]に 並[なら]んでください。,<b>（　）</b>2 列[れつ]に 並[なら]んでください。
4107,列島,れっとう,archipelago,日本は<b>列島</b>です。,にっぽん は <b>れっとう</b> です,Japan is an archipelago.,列島[れっとう],日本[にっぽん]は<b> 列島[れっとう]</b>です。,日本[にっぽん]は<b>（　）</b>です。
4108,何十,なんじゅう,several tens,その店に<b>何十</b>人も行列していたよ。,その みせ に <b>なんじゅう</b>にん も ぎょうれつ して いた よ,Tens of people formed a line to the shop.,何十[なんじゅう],その 店[みせ]に<b> 何十[なんじゅう]</b> 人[にん]も 行列[ぎょうれつ]していたよ。,その 店[みせ]に<b>（　）</b> 人[にん]も 行列[ぎょうれつ]していたよ。
4109,列,れつ,"row, line",店の前に長い<b>列</b>ができていたね。,みせ の まえ に ながい <b>れつ</b> が できて いた ね,A long line formed in front of the shop.,列[れつ],店[みせ]の 前[まえ]に 長[なが]い<b> 列[れつ]</b>ができていたね。,店[みせ]の 前[まえ]に 長[なが]い<b>（　）</b>ができていたね。
4110,実例,じつれい,"example, instance",<b>実例</b>を使って説明してください。,<b>じつれい</b> を つかって せつめい して ください,Please explain by using an actual example.,実例[じつれい],<b> 実例[じつれい]</b>を 使[つか]って 説明[せつめい]してください。,<b>（　）</b>を 使[つか]って 説明[せつめい]してください。
4111,例外,れいがい,exception,<b>例外</b>は認めません。,<b>れいがい</b> は みとめません,Exceptions are not allowed.,例外[れいがい],<b> 例外[れいがい]</b>は 認[みと]めません。,<b>（　）</b>は 認[みと]めません。
4112,用例,ようれい,"example, illustration",<b>用例</b>を使って説明してください。,<b>ようれい</b> を つかって せつめい して ください,Please explain by using examples.,用例[ようれい],<b> 用例[ようれい]</b>を 使[つか]って 説明[せつめい]してください。,<b>（　）</b>を 使[つか]って 説明[せつめい]してください。
4113,例える,たとえる,"compare, liken",彼は彼女をバラに<b>例えた</b>んだ。,かれ は かのじょ を ばら に <b>たとえた</b> ん だ,He compared her to a rose.,例[たと]える,彼[かれ]は 彼女[かのじょ]をバラに<b> 例[たと]えた</b>んだ。,彼[かれ]は 彼女[かのじょ]をバラに<b>（　）</b>んだ。
4114,例題,れいだい,"example, exercise",みんなで<b>例題</b>を解いてみましょう。,みんな で <b>れいだい</b> を といて みましょう,Let's solve the example problem together.,例題[れいだい],みんなで<b> 例題[れいだい]</b>を 解[と]いてみましょう。,みんなで<b>（　）</b>を 解[と]いてみましょう。
4115,例年,れいねん,"normal year, average year",<b>例年</b>8月は雨が少ないね。,<b>れいねん</b> 8 がつ は あめ が すくない ね,There's little rain in a typical August.,例年[れいねん],<b> 例年[れいねん]</b> 8 月[がつ]は 雨[あめ]が 少[すく]ないね。,<b>（　）</b>8 月[がつ]は 雨[あめ]が 少[すく]ないね。
4116,例え,たとえ,"metaphor, simile",<b>例え</b>を上げると話が分かり易くなる。,<b>たとえ</b> を あげる と はなし が わかり やすく なる,It will be easier to understand if you give an example.,例[たと]え,<b> 例[たと]え</b>を 上[あ]げると 話[はなし]が 分[わ]かり 易[やす]くなる。,<b>（　）</b>を 上[あ]げると 話[はなし]が 分[わ]かり 易[やす]くなる。
4117,余り,あまり,"remainder, leftover",<b>余り</b>は次回使いましょう。,<b>あまり</b> は じかい つかいましょう,Let's use the left-over portion next time.,余[あま]り,<b> 余[あま]り</b>は 次回使[じかい つか]いましょう。,<b>（　）</b>は 次回使[じかい つか]いましょう。
4118,かっと,かっと,"lose one's temper, fly into a rage",<b>かっと</b>なって余計なことを言ってしまったな。,<b>かっと</b> なって よけい な こと を いって しまった な,I lost my temper and said something I shouldn't have.,かっと,<b>かっと</b>なって 余計[よけい]なことを 言[い]ってしまったな。,<b>（　）</b>なって 余計[よけい]なことを 言[い]ってしまったな。
